existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,incident_power_w_m2,baseline_transmitted_power_w_m2,retrofit_transmitted_power_w_m2,additional_transmitted_power_w_m2,baseline_weighted_transmittance_percent,retrofit_weighted_transmittance_percent,absolute_gain_percentage_points,relative_gain_percent,retrofit_absorbed_power_w_m2,retrofit_weighted_absorptance_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_physical_violation
1.25,80.0,1.08,0.0,110.0,1.25,30.0,836.08151675,823.7195532370972,832.4740741881799,8.754520951082668,98.52144040201297,99.56852980366762,1.0470894016546466,1.0628035860844487,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,110.0,1.25,50.0,836.08151675,823.7195532370972,831.6970109207921,7.977457683694865,98.52144040201297,99.4755887145728,0.9541483125598429,0.9684676844618566,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,110.0,1.25,75.0,836.08151675,823.7195532370972,829.27960321673,5.560049979632822,98.52144040201297,99.18645330664523,0.6650129046322829,0.6749930795964039,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.15,30.0,836.08151675,823.7195532370972,831.2374476319029,7.517894394805694,98.52144040201297,99.42062238895953,0.8991819869465729,0.912676452229581,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.15,50.0,836.08151675,823.7195532370972,831.3204069088299,7.600853671732693,98.52144040201297,99.43054477993039,0.9091043779174292,0.9227477533903926,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.15,75.0,836.08151675,823.7195532370972,830.8728116587548,7.153258421657597,98.52144040201297,99.37700989832996,0.8555694963170105,0.8684094475536411,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.2,30.0,836.08151675,823.7195532370972,832.1006623069165,8.381109069819331,98.52144040201297,99.52386766561258,1.002427263599633,1.0174711814091095,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.2,50.0,836.08151675,823.7195532370972,832.1145942902123,8.395041053115051,98.52144040201297,99.52553400830963,1.0040936062966794,1.019162531728641,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.2,75.0,836.08151675,823.7195532370972,831.1123074096502,7.392754172552941,98.52144040201297,99.40565492230158,0.8842145202886332,0.8974843614553643,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.25,30.0,836.08151675,823.7195532370972,832.5382137035829,8.818660466485653,98.52144040201297,99.57620124647767,1.0547608444647096,1.0705901580009372,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.25,50.0,836.08151675,823.7195532370972,831.8178758042612,8.098322567164018,98.52144040201297,99.4900448269312,0.968604424918238,0.9831407467916473,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,116.736,1.25,75.0,836.08151675,823.7195532370972,829.4380074022109,5.718454165113712,98.52144040201297,99.20539932833181,0.6839589263188568,0.6942234335267415,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,125.0,1.15,30.0,836.08151675,823.7195532370972,831.0365971399415,7.3170439028442615,98.52144040201297,99.39659955291572,0.8751591509027653,0.8882930936978916,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,125.0,1.15,50.0,836.08151675,823.7195532370972,831.1232410030455,7.403687765948234,98.52144040201297,99.40696264088838,0.8855222388754277,0.8988117056166538,0.0,0.0,True,True,0.0
